configuration,execution time,energy,area 
1MB LRU,1.619352941,41.52657462,321
1MB Rand,1.665494118,42.49884038,321
1MB NRU,1.656417647,42.30512869,321
2MB LRU,1.6094,43.252686,325
2MB Rand,1.586164706,42.70979865,325
2MB NRU,1.6304,43.71409195,325
4MB LRU,1.574682353,46.11038657,333
4MB Rand,1.277882353,38.77237563,333
4MB NRU,1.426064706,42.46082085,333
8MB LRU,0.4996058824,22.10566944,347
8MB Rand,0.6712764706,27.01216672,347
8MB NRU,0.5569470588,23.74371607,347
