cores,execution time (s),total energy (J),avg pwr (W),speedup,normalized energy,normalized avg pwr
1,2.1136,36.84176117,17.43081055,1,1,1
2,1.058141176,24.44302252,23.09996346,1.997465033,0.6634596648,1.325237481
3,0.7098470588,20.47425998,28.84319901,2.977542801,0.5557351042,1.654725059
4,0.5310882353,18.33878973,34.53058928,3.979753004,0.4977717987,1.981008812
5,0.5375235294,19.68166677,36.6154516,3.932106939,0.534221659,2.100616693
6,0.5267058824,20.56890067,39.05196687,4.012865758,0.5583039468,2.240398791
7,0.4950764706,20.89657537,42.20878312,4.269239452,0.5671980576,2.421504325
8,0.4959294118,21.99517328,44.35141928,4.261896854,0.5970174221,2.544426673
